school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score
John C Coonley Elementary School,ES,41.95554905,-87.68380195,95.9,87.0,1.4,,,,
John C Dore Elementary School,ES,41.78092716,-87.78764009,95.6,74.0,10.8,,,,
John Charles Haines Elementary School,ES,41.84993116,-87.63378596,98.4,32.0,0.3,,,,
John D Shoop Math-Science Technical Academy Elementary School,ES,41.69093337,-87.65870614,93.2,32.0,40.8,,,,
John F Eberhart Elementary School,ES,41.7744471,-87.70800189,95.3,42.0,13.1,,,,
John Fiske Elementary School,ES,41.78290934,-87.60259685,92.9,13.0,37.1,,,,
John F Kennedy High School,HS,41.79042796,-87.78037224,83.0,53.0,22.0,,,,
John Foster Dulles Elementary School,ES,41.779797,-87.61717494,94.1,42.0,28.2,,,,
John Greenleaf Whittier Elementary School,ES,41.85050786,-87.67342126,94.9,65.0,3.8,,,,
John Hancock College Preparatory High School,HS,41.79149114,-87.72449161,78.2,51.0,7.5,,,,
John Harvard Elementary School of Excellence,ES,41.75733472,-87.63270008,93.0,51.0,8.7,,,,
John Hay Elementary Community Academy,ES,41.89918473,-87.75585034,92.9,44.0,30.8,,,,
John H Hamline Elementary School,ES,41.80726347,-87.66113856,94.4,33.0,7.5,,,,
John H Kinzie Elementary School,ES,41.78970398,-87.7791043,95.4,64.0,14.9,,,,
John H Vanderpoel Elementary Magnet School,ES,41.72078152,-87.66558526,97.2,74.0,0.3,,,,
John J Audubon Elementary School,ES,41.94509808,-87.68107885,96.2,95.0,4.5,,,,
John J Pershing Elementary Humanities Magnet,ES,41.83803465,-87.61334083,95.5,,19.2,,,,
John L Marsh Elementary School,ES,41.71657908,-87.55251993,95.7,72.0,5.4,,,,
John Marshall Metropolitan High School,HS,41.87847194,-87.70801612,74.1,51.0,42.9,,,,
John M Harlan Community Academy High School,HS,41.71840075,-87.62066069,81.2,,21.6,,,,
John Milton Gregory Elementary School,ES,41.87071468,-87.71867323,95.2,44.0,3.2,,,,
John M Smyth Elementary School,ES,41.86532347,-87.65347031,92.4,37.0,20.1,,,,
Johnnie Colemon Elementary Academy,ES,41.67747786,-87.65812011,95.9,60.0,23.4,,,,
John Palmer Elementary School,ES,41.97326374,-87.73917547,96.3,75.0,12.8,,,,
John P Altgeld Elementary School,ES,41.76510322,-87.6582125,91.9,48.0,32.9,,,,
