school,x,y,level,safety,attendance,misconduct,instr,teachers
609849,2.761114130363219,0.2916544157043417,ES,76.0,94.4,13.8,36.0,61.0
609761,-1.2256443451352197,-2.2118691771501067,HS,33.0,71.3,23.4,48.0,54.0
610305,1.5104084860465585,2.0437238914829523,ES,48.0,92.6,3.3,47.0,77.0
610048,-3.8637820280753044,0.22521381176711677,ES,43.0,91.0,44.0,40.0,48.0
610139,0.8170407042342973,2.1291893118598355,ES,59.0,93.5,14.6,75.0,48.0
609795,2.0471938283006,-0.2747929006056157,ES,39.0,93.9,14.4,36.0,48.0
609760,-0.6775692581017261,-1.8293620229139187,HS,53.0,91.6,8.9,34.0,48.0
609845,-3.868206160411514,0.21616845397654819,ES,25.0,90.9,15.6,30.0,48.0
610219,4.208885649629178,1.0751908455202825,ES,58.0,95.5,5.6,43.0,76.0
609739,-0.9566984730462749,-2.1340045647241968,HS,46.0,80.2,12.7,36.0,46.0
