school,x,y,level,safety,attendance,misconduct,instr,teachers,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,instr_dev,misconduct_dev
609674,-2.0778955432222532,-3.8381105217831344,HS,27.0,68.8,33.3,30.0,39.0,7.62464535430679,Low,Low,Low-Low,83.34229321864682,30.0,-22.483870967741936,-14.548387096774192,17.70322580645161
609899,7.044270803732604,-1.083464945989683,ES,78.0,95.9,9.3,50.0,62.0,9.346265360840718,High,Low,High-Low,95.5571768681361,50.0,28.62770562770563,0.8354978354978329,-13.214718614718613
609705,-1.9712291270785394,-2.8983889039269655,HS,36.0,74.4,49.8,32.0,42.0,10.41644173324154,Low,Low,Low-Low,77.56700714230858,32.0,-13.483870967741936,-12.548387096774192,34.20322580645161
609863,5.033617796203923,0.07415927353308946,ES,66.0,95.5,2.4,55.0,48.0,5.373271157984949,High,Mid,High-Mid,97.73058904846017,55.0,16.62770562770563,5.835497835497833,-20.114718614718615
609790,-2.2912237239435433,0.7385974344604852,ES,25.0,91.7,25.3,34.0,59.0,7.644226179663546,Low,Mid,Low-Mid,87.2168036249136,34.0,-24.37229437229437,-15.164502164502167,2.7852813852813867
610347,-0.7788059251547691,1.748440470533663,ES,36.0,92.5,64.2,51.0,59.0,11.262555815451991,Mid,High,Mid-High,72.73250902388449,51.0,-13.37229437229437,1.8354978354978329,41.685281385281385
610499,-0.09061399475865116,-1.2384325934378118,HS,60.0,91.4,2.9,46.0,48.0,4.851269443436039,Mid,Low,Mid-Low,97.15075647031719,46.0,10.516129032258064,1.4516129032258078,-12.696774193548388
610170,1.1246222003775412,2.5421697037020077,ES,59.0,95.4,8.9,63.0,72.0,6.391789825328285,High,High,High-High,94.96198448659858,63.0,9.62770562770563,13.835497835497833,-13.614718614718614
610004,-2.5271536845722227,0.09527049277311328,ES,14.0,94.1,36.9,34.0,48.0,12.76194033168222,Low,Mid,Low-Mid,82.4322248675217,34.0,-35.37229437229437,-15.164502164502167,14.385281385281385
609781,-1.732445878801035,3.185598175270888,ES,45.0,95.2,12.5,57.0,85.0,6.382500698891278,Low,High,Low-High,93.03432916058674,57.0,-4.37229437229437,7.835497835497833,-10.014718614718614
609873,-4.078684949422049,1.5338354320756578,ES,27.0,92.5,100.5,52.0,31.0,21.796376374827144,Low,High,Low-High,58.4478918669841,52.0,-22.37229437229437,2.835497835497833,77.98528138528138
610063,0.17755007186696042,1.0093885130421207,ES,48.0,95.9,4.7,47.0,54.0,0.44494017697560073,Mid,High,Mid-High,96.17156900391676,47.0,-1.3722943722943697,-2.164502164502167,-17.814718614718615
609804,1.0752281999880509,0.2055044855255595,ES,52.0,95.5,10.5,48.0,53.0,5.192580089640245,High,Mid,High-Mid,94.0826357422625,48.0,2.6277056277056303,-1.1645021645021671,-12.014718614718614
610083,0.13421361850546176,1.0044506926719556,ES,48.0,91.9,0.0,47.0,48.0,0.0,Mid,High,Mid-High,97.82274786882729,47.0,-1.3722943722943697,-2.164502164502167,-22.514718614718614
610380,0.3799903299713314,-2.2066488188007014,HS,50.0,91.3,5.4,54.0,48.0,6.383845771261237,Mid,Low,Mid-Low,95.80293372244836,54.0,0.5161290322580641,9.451612903225808,-10.196774193548388
609870,-0.9737553123194315,-0.242039752121831,ES,39.0,94.7,18.1,29.0,48.0,6.9363504253993415,Mid,Mid,Mid-Mid,90.63435988019353,29.0,-10.37229437229437,-20.164502164502167,-4.414718614718613
609835,-5.891981885411288,0.5020405026301196,ES,42.0,92.6,153.9,50.0,48.0,40.31628729355789,Low,Mid,Low-Mid,38.522386913447505,50.0,-7.37229437229437,0.8354978354978329,131.3852813852814
610223,-3.943146861858792,0.25311154209904263,ES,30.0,91.6,73.8,36.0,32.0,16.622714287336397,Low,Mid,Low-Mid,68.78119960064511,36.0,-19.37229437229437,-13.164502164502167,51.28528138528138
610221,1.5225429134772477,1.826608223318623,ES,48.0,94.8,5.7,66.0,44.0,4.98738133038265,High,High,High-High,95.74533445971892,66.0,-1.3722943722943697,16.835497835497833,-16.814718614718615
609704,-0.8402244115181173,-2.032608438412375,HS,43.0,86.1,18.6,32.0,48.0,6.356123981672206,Mid,Low,Mid-Low,90.26572459872514,32.0,-6.483870967741936,-12.548387096774192,3.0032258064516135
610402,0.053505245691201186,-0.7363499097766856,HS,48.0,96.7,0.0,47.0,48.0,0.0,Mid,Low,Mid-Low,98.00706550956147,47.0,-1.483870967741936,2.451612903225808,-15.596774193548388
609885,-4.74591367190837,1.2167994854813369,ES,41.0,90.7,26.3,35.0,48.0,6.858080695525047,Low,High,Low-High,87.40880116734505,35.0,-8.37229437229437,-14.164502164502167,3.7852813852813867
609859,1.5133979985497432,-0.3935801531442672,ES,47.0,95.3,14.8,52.0,36.0,6.021309051224529,High,Mid,High-Mid,92.23177943322327,52.0,-2.3722943722943697,2.835497835497833,-7.714718614718613
610515,5.436343029306228,1.7015664889268087,ES,48.0,97.3,0.0,47.0,53.0,0.0,High,High,High-High,98.03010521465326,47.0,-1.3722943722943697,-2.164502164502167,-22.514718614718614
610077,-3.3155643030430824,-1.5001305738203734,ES,28.0,93.4,19.6,39.0,32.0,6.358335449046486,Low,Low,Low-Low,89.58605329851778,39.0,-21.37229437229437,-10.164502164502167,-2.9147186147186126
610198,-2.7951726968027377,-1.211184617370959,ES,34.0,95.1,16.6,1.0,48.0,20.491562773528393,Low,Low,Low-Low,91.03371476845096,1.0,-15.37229437229437,-48.16450216450217,-5.914718614718613
610533,-1.1248776978012855,0.6186013659790038,ES,48.0,94.7,7.0,47.0,48.0,1.1925883744822638,Mid,Mid,Mid-Mid,95.24230089854849,47.0,-1.3722943722943697,-2.164502164502167,-15.514718614718614
609751,-0.03232855851736161,-1.5890742726477425,HS,48.0,92.9,4.4,47.0,48.0,0.34786232018092444,Mid,Low,Mid-Low,96.17156900391676,47.0,-1.483870967741936,2.451612903225808,-11.196774193548388
